Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches
Gerard Piqué,es ESP,DF,31.0,35,35,3150.0,35.0,4.0,2.0,6.0,4.0,0.0,0.0,6.0,0.0,0.11,0.06,0.17,0.11,0.17,Matches
Marc-André ter Stegen,de GER,GK,26.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jordi Alba,es ESP,DF,29.0,36,32,2991.0,33.2,2.0,8.0,10.0,2.0,0.0,0.0,6.0,0.0,0.06,0.24,0.3,0.06,0.3,Matches
Luis Suárez,uy URU,FW,31.0,33,31,2827.0,31.4,21.0,6.0,27.0,17.0,4.0,4.0,5.0,0.0,0.67,0.19,0.86,0.54,0.73,Matches
Sergio Busquets,es ESP,MF,30.0,35,30,2715.0,30.2,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Lionel Messi,ar ARG,FW,31.0,34,29,2713.0,30.1,36.0,13.0,49.0,32.0,4.0,5.0,3.0,0.0,1.19,0.43,1.63,1.06,1.49,Matches
Ivan Rakitić,hr CRO,MF,30.0,34,29,2643.0,29.4,3.0,5.0,8.0,3.0,0.0,0.0,7.0,1.0,0.1,0.17,0.27,0.1,0.27,Matches
Sergi Roberto,es ESP,"DF,MF",26.0,29,23,2088.0,23.2,0.0,7.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.3,0.3,0.0,0.3,Matches
Philippe Coutinho,br BRA,"FW,MF",26.0,34,22,2018.0,22.4,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,0.22,0.09,0.31,0.22,0.31,Matches
Clément Lenglet,fr FRA,DF,23.0,23,22,1933.0,21.5,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.05,0.0,0.05,0.05,0.05,Matches
Arturo Vidal,cl CHI,MF,31.0,33,22,1929.0,21.4,3.0,7.0,10.0,3.0,0.0,0.0,7.0,0.0,0.14,0.33,0.47,0.14,0.47,Matches
Ousmane Dembélé,fr FRA,"FW,MF",21.0,29,20,1661.0,18.5,8.0,5.0,13.0,8.0,0.0,0.0,1.0,0.0,0.43,0.27,0.7,0.43,0.7,Matches
Nélson Semedo,pt POR,DF,24.0,26,20,1600.0,17.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Arthur Melo,br BRA,MF,21.0,27,19,1430.0,15.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Samuel Umtiti,fr FRA,DF,24.0,14,13,1189.0,13.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Thomas Vermaelen,be BEL,DF,32.0,9,7,587.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
